评论者主页,评论者昵称,评论者性别,评论者所在地,评论者微博数,评论者关注数,评论者粉丝数,评论内容,评论获赞数,评论发布时间
https://weibo.cn//dfjb,东方今报,女,河南,76756,1106,7477571,【最新进展｜,227,2020-08-25 09:21
https://weibo.cn//dfjb,东方今报,女,河南,76756,1106,7477571,【最新消息｜踹伤猥亵男男生被解除刑拘，父亲：26日凌晨到家今天吃团圆饭】,17,2020-08-26 10:47 
https://weibo.cn//u/5655899995,这个牛-很低迷,男,山西,323,389,120,这样说意思小偷偷了我东西我还不能追了？他摔倒了我还要赔？,22541,2020-08-24 22:42
https://weibo.cn//u/5834847977,瞎抹杵眼,男,其他,216,190,2302,回复@让我今天幼稚完好吗丶:麻烦你再看一下人家罗老师怎么讲的，别再这鬼扯,0,2020-08-26 23:02
https://weibo.cn//u/6005391273,shitizen的胜利,男,其他,63,35,20,回复@一两五仁月饼:？还不是这个意思？他不也说过当，但轻伤不承担责任，我东法学院确实不强，但没到不懂法的地步,0,2020-08-26 22:46
https://weibo.cn//u/2023400483,君君lilac,女,海外,25,77,37,回复@茉莉花味香胰子:好，同意！完全同意！我现在已经被你科普的差不多了。我纠结的点在于那现在干嘛又放了取消刑拘了？既然警察办案没有错，那就该顶着压力等到法院判决！不应该因为大众起哄改来改去吧？,0,2020-08-26 22:12 
https://weibo.cn//u/2266729835,考不进上戏不见爱豆,女,江苏,8093,2331,164,所以应该放任雷某逃跑 然后再让警方大海捞针去找他就好啦 哇 永州警方好伟大哦 不麻烦人民群众呢🙊,0,2020-08-26 22:03 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@君君lilac:见义勇为是结果，你不能先入为主。思路是这样的:男生打人导致他人骨折构成轻伤，受伤的人去报案，警察一查只要这个事实成立就会以涉嫌故意伤害抓你!至于最后到底是不是见义勇为也得由法院说了算，法院判决是见义勇为，被告无罪当庭释放掌声响起来!明白了没，警察是没权利给人定罪的，你让警察怎么办!,0,2020-08-26 22:01 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@君君lilac:我和你私聊，评论好麻烦,0,2020-08-26 21:50 
https://weibo.cn//u/5281425201,一两五仁月饼,男,广东,39,159,140,回复@shitizen的胜利:你确定你同学是学法的？第一这事和正当防卫一毛钱没有，因为不法侵害已结束。第二，至于是否属于扭送，请参考@普法达人张三 的视频。至于是你所谓法学院懂法，还是政法大学教授罗老师懂法，就看你自己判断了。,0,2020-08-26 21:48 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@君君lilac:重新审理就是重头开始，第一先放人，然后查案情，你是不是打伤了猥琐男，是!司法鉴定是不是轻伤，是!够不够成涉嫌故意伤害？构成，再抓回来审!如果不是，那就是分局侦查有问题!到目前为止，是不是涉嫌故意伤害得看下一步查的如何。一旦开庭审理，就说明被涉嫌故意伤人起诉了，至于是不是见义勇为看法院,0,2020-08-26 21:41 
https://weibo.cn//u/2023400483,君君lilac,女,海外,25,77,37,回复@茉莉花味香胰子:我明白你说的，我想表达的就是干嘛不在最初的时候给出一个没有争议的结果？因为老百姓不相信才撤销来自己查，最终的结果多半就是另外一个较轻的结果，何必呢？,0,2020-08-26 21:36 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@君君lilac:说了这么多你还是钻在牛角尖里不出来!这案子还没判，公安局责令分局撤销然后拿过来自己查说白了就是给老百姓说你们不信任分局那我们来查你们请放心，这也很正常啊，不能说明什么，如果公安局查半天事实确凿谁查都一样，该拘还是得拘!还有，刑事案件是可以达成谅解民事赔偿的，这也是合理的。,0,2020-08-26 21:32 
https://weibo.cn//u/6873691905,可可桃的犬,女,其他,1412,96,4,真特么无语了,0,2020-08-26 21:31 
https://weibo.cn//u/1765042000,油条炒西瓜,男,北京,295,835,227,派出所黄警官开除了吗,0,2020-08-26 21:21 
https://weibo.cn//u/2023400483,君君lilac,女,海外,25,77,37,回复@茉莉花味香胰子:还有瞎起哄的法盲大众是绝大多数群体，因为舆论压力改来改去不是好事吧？这不是舆论监督，这更像为了扑灭大家升腾的怒火迎合大众，对于公信力伤损极大，舆论监督更应该指对于执法人员和单位一些违规或者不当行为提出质疑并且责令他们改正，而不应该是因为案子判错或者判的不公让舆论逼着重判！,0,2020-08-26 21:20 
https://weibo.cn//u/6110424824,小鸡咕咕咕咕day,男,其他,222,889,231,气死了😡,0,2020-08-26 21:18 
https://weibo.cn//u/2023400483,君君lilac,女,海外,25,77,37,回复@茉莉花味香胰子:2:不予追究该男生刑事责任，只是民事赔偿，那么最初的刑拘也只是干了又一件削弱公信力的狗屁烂事。现在的情况是结果无论如何都是失望，另外我可没有说舆论引导司法，我只在表达很多时候都是舆论压力之下重新审理，朝令夕改，再说了我们的司法是百姓能随便引导得了的吗？,0,2020-08-26 21:13 
https://weibo.cn//u/2023400483,君君lilac,女,海外,25,77,37,回复@茉莉花味香胰子:即使像你说的在之后伤情鉴定等有了定论后还是会抓人移交检察院，那么至少在当下案件责令被撤销取消刑拘，是否也说明至少在案件初级阶段的确存在问题？公检法代表的是中国司法，无论哪个阶段出现问题都是对公信力的挑战，假设两种结果，1:男生仍然被判刑，那么现在责令撤销案件取消刑拘是在玩过家家吗？,0,2020-08-26 21:13 
https://weibo.cn//u/2023400483,君君lilac,女,海外,25,77,37,回复@茉莉花味香胰子:好，我可以接受所有你说的，我也承认我是一个普通的法盲大众之一，我们百姓要的就【只】是一个结果，不希望看到在案件任何一个过程出现与普通认知偏差太大的结果，伤人是事实，但是真的罪至刑拘吗？为何在被案件被吵起来之后又责令撤销案件，并且取消刑拘？,0,2020-08-26 21:12 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@君君lilac:案件的侦破是需要一个过程的，而民众只需要一个结果。不管是情况，一旦有人起诉这个过成就得走，在这个过程中就出现争议并不算舆论引导司法，充其量就是瞎起哄督促警察办案,0,2020-08-26 20:30 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@茉莉花味香胰子:如果事实清楚，检察院向人民法院提起公诉，法院开庭审理，双方请律师开始辩论你这个行为到底是见义勇为呢还是故意伤害呢。最后认定是见义勇为，猥琐男不服上诉到中院，再审，然后判为故意伤害，你不服起诉，再审。不管结果如何，你有没有发现，公安局只是按流程办事。,0,2020-08-26 20:23 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@君君lilac:你要理解一点，不管是出于什么原因，你伤了人这是事实。受伤的人报案，公安局根据伤情就得立案侦查，侦查后判断这个伤是怎么造成的，证据监控证人等确定你有没有涉嫌故意伤害，有就会移交检察院审理，检察院查证事实清不清楚，证据充不充足，这里的事实一般来讲就是你造成伤害的事实，不管出于什么原因,0,2020-08-26 20:18 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@君君lilac:【这个字数限制太烦了】现在提到冷水滩公安局办理，如果仍然被认定为估计伤害致轻伤，还是会抓人交给检察院，检察院审理事实清楚证据确凿最后向法院提起公诉，由法院审理看到底是见义勇为还是故意伤害，因为伤人是事实，猥琐男被行政拘留了但是还是可以起诉你，至于谁会赢法院审理完才见分晓。,0,2020-08-26 20:10 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@君君lilac:这案子之前应该是公安局想促成刑事谅解以保全这个男生的，毕竟刚考上大学!结果男生家人不服，因为之前警方通报说男生家人不愿民事赔偿，所以冷水滩公安分局才拘人准备移送检察院的!结果被舆论吵起来了。,0,2020-08-26 20:08 
https://weibo.cn//u/5737710749,一江日辰,男,安徽,47,245,13,又是永州，永州的警察就是真的没有用，真当大家都忘了当年强奸未成年女生的事件了吗？不得不说前人的预言，真的非常准：永州之野产异蛇，黑质而白章，触草木，尽死，以啮人，无御之者。 🐍=👮♂️ ,0,2020-08-26 19:49 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@君君lilac:这样的情况多了会促使公检法办案更加严格认真，不会和稀泥一刀切，其实是好事，任何部门都需要监督!你说的公信力的问题，类似这种有争议的案子还是个别情况，并没有想象的那么严重，不至于，再说不服可以上诉嘛。还有现在舆论群体都凭借日常观念评判，和冷酷的法律碰撞难免会有争议，其实很正常。,0,2020-08-26 19:46 
https://weibo.cn//u/6130998499,围城_72594,男,天津,392,384,111,回复@莫耶coda:怎么制服？讲道理，聊感情，感动对方？,0,2020-08-26 19:45 
https://weibo.cn//u/5566675671,狐萝白三代,男,其他,985,344,67,回复@宝宝要可爱呢:他们都是从自身出发，怎么可能想到这些,0,2020-08-26 19:28 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@君君lilac:应该这样理解，是责令分局撤销，提到冷水滩公安局重新调查了!在调查未完成没有批准逮捕之前是可以放人的!也就是还没结果，最后有没有罪还得看法院审理!公安局是没权利说一个人有罪没罪的。这种争议大的案件比较敏感，公安局这么做也有先例的，舆论监督司法是好事，最后看无罪辩护能不能胜诉吧。,0,2020-08-26 19:27 
https://weibo.cn//u/2169803243,月半纟氏,男,海外,3292,118,152,唐慧案也是永州，这地方警察很有问题,0,2020-08-26 19:27 
https://weibo.cn//u/7412332018,莫迪里阿咦,女,北京,129,254,8,艹,0,2020-08-26 17:58 
https://weibo.cn//u/5803103774,左眼观股市,男,山东,3211,25,166,难道别人猥亵了你的女人，然后需要歇一会，这期间你就不能制止他吗？如果别人在强奸别人，然后因为没有把女方裤子脱下来，累了，休息一会，毕竟年过半百了， 这时候如果有人制止他，就是非自保了吗？就不是见义勇为了吗？非要在似进非进的时候制止吗？非要看现场直播吗？,0,2020-08-26 17:51 
https://weibo.cn//u/2720298467,shitau-,女,海外,833,943,1814,？,0,2020-08-26 17:23 
https://weibo.cn//u/6005391273,shitizen的胜利,男,其他,63,35,20,回复@一两五仁月饼:如果裁定故意伤人就是判定不属于扭送行为，也没有问题，现在改判只承担民事责任就是只判定防卫过当构成轻伤，属于德治与法治并行,0,2020-08-26 17:06 
https://weibo.cn//u/6005391273,shitizen的胜利,男,其他,63,35,20,回复@一两五仁月饼:看到你这个，特地问了法学院的同学，他们一致认为小伙至少构成防卫过当,0,2020-08-26 17:02 
https://weibo.cn//u/6005391273,shitizen的胜利,男,其他,63,35,20,回复@一两五仁月饼:1.猥亵行为是否属于犯罪行为？2.踹伤是否扭送必要手段？首先这个扭送不符合犯罪前提，其次你不能说我为了扭送犯人把犯人杀了吧？,0,2020-08-26 16:58 
https://weibo.cn//u/6347721297,一九九八年七月二十二,男,海外,1,943,1704,"回复@雑魚烧:追你的🐶明星去吧,别出来送🐴了",0,2020-08-26 16:37 
https://weibo.cn//307306786,雑魚烧,女,其他,2927,138,477,回复@一九九八年七月二十二:你是疯子吧。。。太好笑了疯狗一样,0,2020-08-26 16:33 
https://weibo.cn//u/6347721297,一九九八年七月二十二,男,海外,1,943,1704,"回复@雑魚烧:你还结婚呢？大街上随便找一条流浪公🐶就行了,哈哈哈哈哈哈哈哈哈,笑死了,你咋不把简介改成🐶呢,一个表情生动又真实",0,2020-08-26 16:25 
https://weibo.cn//u/6347721297,一九九八年七月二十二,男,海外,1,943,1704,回复@雑魚烧:你有你🐴的🐶智商,0,2020-08-26 16:24 
https://weibo.cn//09120921,黑鹭zero,男,上海,5198,635,4531,回复@Lzvei1997:看好你,0,2020-08-26 15:59 
https://weibo.cn//u/6356159068,恋-虐心,男,四川,92,30,27,回复@朱砂的新小窝:照你这么说那你去打死他呗！中国是法治社会还是暴利社会？犯了错打就完事了呗,0,2020-08-26 15:57 
https://weibo.cn//u/5972349620,脑洞君_封印解除,男,其他,178,66,5,回复@哟_好久不见:而罗翔老师专门针对本案的看法的大致内容是：①男生的举动属于“扭送”行为②造成轻伤属于“扭送过当”③造成轻伤和扭送的的手段是否有合理需要我们社会一般人判断④“扭送过当”属于过失罪，过失对轻伤不构成犯罪⑤无论如何善行都不能论以犯罪。所以这个男生根本不应该被拘留。,0,2020-08-26 15:54 
https://weibo.cn//u/5972349620,脑洞君_封印解除,男,其他,178,66,5,回复@哟_好久不见:“无论如何，善行都不能论以犯罪，否则违法就并非不易，反而是荣耀。司法活动他不是电脑运算，必须考虑民众道德情感的行为。为此才能保证司法的公信力。”——刑法人罗翔,0,2020-08-26 15:38 
https://weibo.cn//u/3511401694,程子羽阿,男,河南,226,239,885,有些人，学法律学的一点人味儿都没了！,0,2020-08-26 15:38 
https://weibo.cn//u/5972349620,脑洞君_封印解除,男,其他,178,66,5,回复@哟_好久不见:半灌水没有你还指点起别人了，犯罪嫌疑人的逃跑行为属于犯罪过程的延续，公民为阻止犯罪嫌疑人逃跑对犯罪嫌疑人造成的损伤不应当被算为故意伤害罪。顺便告诉你，少年已经被撤销刑拘了,0,2020-08-26 15:34 
https://weibo.cn//u/2023400483,君君lilac,女,海外,25,77,37,回复@茉莉花味香胰子:现在的结果是人民日报发布的，“已责令冷水滩分局撤销案件，立即解除对胡某某的刑事拘留”，这是一个预料之中的结果，一旦舆论形成鼎沸之态，相关部门才会被逼表态被逼重新审理给出结果，为什么我们的公检法总是要靠舆论压力来审理案子？这样的例子多了对于公信力没有伤害吗？百姓不被带节奏也很难吧？,0,2020-08-26 15:25 
https://weibo.cn//u/1932618082,道szguosh63,男,广东,97,83,188,不算见义勇为也不应该刑拘。故意伤害罪么？作案动机是什么？,1,2020-08-26 15:17 
https://weibo.cn//u/6130236596,请回答枇杷树,女,其他,273,220,20,回复@嘉尔的冰淇淋:自古正不压邪,0,2020-08-26 15:05 
https://weibo.cn//u/2564014835,沅珒,男,海外,866,8090,627,支持警方，没毛病,0,2020-08-26 14:57 
https://weibo.cn//u/1187273557,minicm,女,上海,4211,2405,831,回复@莫耶coda:打脸了没，事情经过都没了解清楚就来做理中客。,0,2020-08-26 14:55 
https://weibo.cn//u/1187273557,minicm,女,上海,4211,2405,831,回复@东方今报:本来就是当地警方乱作为。我国最该普法的群体是基层一线的执法者，尤其是一些小地方的警察估计法律常识还不如一个普通公民，遇事不是和稀泥就是机械性执法。这些乱作为的案子只有舆情发酵才能扭转，可是大部分的案子都上不了热搜。,1,2020-08-26 14:49 
https://weibo.cn//u/6357752376,肥宅摸鱼柴,男,其他,1220,187,639,我TM真是搞不懂了,0,2020-08-26 14:43 
https://weibo.cn//u/6246580779,羊文三头铁,女,海外,72,56,198,脑子有点问题吧 这样以后谁来见义勇为,1,2020-08-26 14:28 
https://weibo.cn//u/6064419701,兮瑾81463,女,其他,66,118,3,强奸的时候阻止就算见义勇为了吗,0,2020-08-26 14:05 
https://weibo.cn//u/5243972695,我看你很欧科,女,北京,966,517,240,回复@Jiangpy爸爸:诶，北大高材生，看新闻了么？现在北大好考么？,0,2020-08-26 13:54 
https://weibo.cn//u/2442316532,The_24th_heaven,男,福建,677,263,312,回复@兔爷打滚:同意。,0,2020-08-26 13:38 
https://weibo.cn//u/3833905544,是雪不是学啊喂,女,湖北,1157,97,248,狗官,0,2020-08-26 13:25 
https://weibo.cn//u/5582467942,玛丽轰啊,女,北京,652,235,49,回复@凌云彩虹:唉，是这样,0,2020-08-26 13:16 
https://weibo.cn//u/3020069283,扣扣睡醒了,女,广东,287,250,148,回复@东方今报:,0,2020-08-26 13:08 
https://weibo.cn//u/5649677152,齐佳同学,女,江苏,35,39,10,真让人心寒，猥亵行为之所以那么泛滥就是因为犯罪成本低且处罚力度不够，不打的疼了怎么会记得住教训？,0,2020-08-26 13:04 
https://weibo.cn//u/6314337958,arcsin小桔,女,四川,290,321,137,回复@绿蚁红ni:害，这是猥亵的人跑了，是男友追出去踢伤的（好像是叫不法侵害已经停止了，所以不构成正当防卫？？日常感慨法律知识储备浅薄），为什么不属于见义勇为啊，索赔的20万不会成立吧,0,2020-08-26 13:01 
https://weibo.cn//u/2125005071,只想活得自私点,女,广东,3206,125,100,我以后是不会做什么见义勇为的事了。没钱没权，不想吃力不讨好，惹得一身腥。,0,2020-08-26 12:44 
https://weibo.cn//u/7383607160,两只小dogg,女,山东,159,23,6,胡某不用负法律责任是吗？？？,0,2020-08-26 12:44 
https://weibo.cn//u/1808868367,兔爷打滚,男,江苏,17,21,20,回复@阿紫_RY:先搞清楚什么叫故意，故意主观上是以伤害对方为目的，而这个男孩主观上是以协助扭送猥亵嫌犯为目的，根本就不是故意伤害的目的，而且客观上也只造成轻伤，过失轻伤怎么可能是坐牢？,1,2020-08-26 12:43 
https://weibo.cn//u/5764060095,諼草-,女,广西,689,259,382,什么讲故意伤害罪？就是老流氓猥亵女孩子，人家拿男孩子帮你们警察抓流氓。这样就挨刑拘？公义何在？,0,2020-08-26 12:40 
https://weibo.cn//u/6749814288,-赤橙黄绿蓝靛紫-,男,其他,78,498,83,不是你撞的，为什么要扶呢，不是猥亵你，你为什么要反抗呢,0,2020-08-26 12:38 
https://weibo.cn//u/1808868367,兔爷打滚,男,江苏,17,21,20,回复@The_24th_heaven:看别人行为要主客观相统一看，那个男生踢的时候，在主观是要阻止猥亵者逃跑的扭送行为而不是要伤害对方，客观上造成了轻伤，过失轻伤，最多只需要民事赔偿即可。,0,2020-08-26 12:35 
https://weibo.cn//u/5347577564,一曲折扇情_,男,北京,113,114,61,回复@千江有水千江月oc:看法治🉐意见  案件送审以后  法治说了算  法治决定呗  但是得按照法律法规来,0,2020-08-26 12:32 
https://weibo.cn//u/1808868367,兔爷打滚,男,江苏,17,21,20,回复@AfricanCats:普通民众在那个当下能区分违法行为和犯罪行为吗？不算见义勇为也是一种扭送，大不了算过失。过失轻伤顶多民事赔偿。,0,2020-08-26 12:23 
https://weibo.cn//u/3898440406,yye无心睡眠,男,上海,1823,983,473,这不就是韩剧机智的监狱生活吗,0,2020-08-26 12:18 
https://weibo.cn//u/5337293185,种花家De小狮子,女,四川,136,105,101,回复@starbaby-June:唉，我们家也被偷了几次，有2次是半夜，有一次是白天弟弟生病了家里没人，本来就穷，干干净净的给我们把粮食、鸡鸭偷了，就这样都改变了我们一家的生活状态，更别说十多年了。所以国家对于偷盗这块的律法真的太不公道了。,0,2020-08-26 12:18 
https://weibo.cn//u/5337293185,种花家De小狮子,女,四川,136,105,101,回复@饣反木甬i:不是打的，就是从高坎上摔下入沟底，20多年前农村漆黑的，反正就追赶嘛。,0,2020-08-26 12:13 
https://weibo.cn//u/1640131722,童妈js,女,江苏,333,266,255,回复@东桃花源:钓鱼🎣有意思吗,0,2020-08-26 12:02 
https://weibo.cn//u/6657449691,白日梦研究专家·葭月黄桃,女,其他,1469,497,30,回复@吃掉小葡萄:气死我了 这都是什么狗屁法律,0,2020-08-26 12:01 
https://weibo.cn//u/5743755076,Super慢5743755076,男,山东,100,54,144,回复@东方今报:依法治国,0,2020-08-26 12:00 
https://weibo.cn//u/5800255840,马刺and勒布朗,男,海南,2,18,74,有些警察的素质能力堪忧！！,0,2020-08-26 11:52 
https://weibo.cn//u/7343721670,大虾肉多,男,其他,41,49,1,回复@蜂蜜水咕噜噜噜噜:能上热搜的需要考虑很多,0,2020-08-26 11:51 
https://weibo.cn//u/5215167500,一只吃瓜的柠檬精,女,其他,2071,444,344,那小胡要是眼瞅着猥亵犯在眼前逃跑而不阻拦，或者只是很随意的表面敷衍阻拦一下。是不是可以认为小胡在包庇在帮助猥亵男逃脱法律的制裁阿？那小胡是不是可以被认为是接应是同伙阿？小胡好难哦,0,2020-08-26 11:49 
https://weibo.cn//u/6597348399,九隅斌客,女,北京,94,369,65,回复@爱学法律的博:罗翔老师刚刚发了视频，你要不要去看下？,0,2020-08-26 11:39 
https://weibo.cn//u/3187478110,请随意抹布我本命但要记得艾特我,女,海外,4544,435,360,回复@莫失聪聪:还有就是刚注意到的时间线问题，当天猥亵男走进警局签署免责协议，几天后检测粉碎性骨折？或许这位少年骨骼清奇，是化骨绵掌的第六十七代传人吧！我还是那句话，不要做没有人性的法律机器，不要站在事后理性人的角度看问题还洋洋得意认为别人都不懂法，做个人吧？行吗？,0,2020-08-26 11:39 
https://weibo.cn//u/3187478110,请随意抹布我本命但要记得艾特我,女,海外,4544,435,360,回复@莫失聪聪:Hello？你是不是不识字啊？一，他二人不是男女朋友关系；二，就算是男女朋友关系，从情理上拦截猥亵男也是合理的，且男同学没有主观上想要伤害猥亵男。至于责任，男同学家里已经付了猥亵男的住院费，你的意思是把二十万也打给猥亵男呗？,0,2020-08-26 11:37 
https://weibo.cn//u/2669244775,茉莉花味香胰子,男,甘肃,74,242,537,回复@君君lilac:浙大那个最后认定强奸中止，那么判也没问题。这个案子，目前只是诉讼阶段，致人轻伤触犯刑法了，所以被刑拘也是合理的，犯不犯罪其实警察说了不算，所以才说涉嫌，刑拘只是刑事案件审理过程的一个环节，最后看法院如何审理。所以别被带节奏了,0,2020-08-26 11:30 
https://weibo.cn//zhimingzou,AfricanCats,男,重庆,571,280,320,回复@狗狗与周周:此乃微博办案。上头高度重视了，那么结果就是:猥亵者行政拘留15日（已经执行），女孩男友无罪释放，但是有过失所以赔偿部分医药费（赔偿部分甚至政府部门关怀一下）,0,2020-08-26 11:26 
https://weibo.cn//u/6591841849,迷迷茫茫的小鹿,女,其他,114,289,25,回复@东方今报:男生好像今年高考，是否受到影响，怎么赔偿别人,0,2020-08-26 11:26 
https://weibo.cn//u/6597348399,九隅斌客,女,北京,94,369,65,回复@唯冷独嗳月倾心2:行为本身适用于扭送，但扭送扭出粉碎性骨折的仅此一家,0,2020-08-26 11:24 
https://weibo.cn//u/5281425201,一两五仁月饼,男,广东,39,159,140,回复@茉莉花味香胰子:你在微博里@ 罗老师来普法，人家普法视频出了你又不看，完了还说别人不懂法。对你这种人我是当真服气的。,0,2020-08-26 11:06 
